Year,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,Lead Max 3-Mo Avg,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr
2022,6073,"San Diego County, CA",1.7,1.2,0.01,50.0,15.0,0.1,0.079,40.0,23.0,17.0,8.9,0.0,1.0,0.0
2022,6075,"San Francisco County, CA",1.4,0.9,,41.0,9.0,0.05,0.044,28.0,15.0,20.0,6.8,,,
2022,6077,"San Joaquin County, CA",2.5,1.7,,39.0,8.0,0.09,0.067,93.0,29.0,35.0,10.2,,,
2022,6079,"San Luis Obispo County, CA",,,,17.0,2.0,0.08,0.069,100.0,29.0,23.0,9.1,2.0,3.0,1.0
2022,6081,"San Mateo County, CA",1.8,1.0,,38.0,8.0,0.08,0.053,,,20.0,6.8,,,
2022,6083,"Santa Barbara County, CA",0.9,0.7,,20.0,3.0,0.07,0.06,53.0,21.0,16.0,8.0,2.0,2.0,1.0
2022,6085,"Santa Clara County, CA",1.8,1.5,0.04,44.0,13.0,0.09,0.066,41.0,20.0,28.0,10.1,1.0,2.0,0.0
2022,6087,"Santa Cruz County, CA",,,,,,0.06,0.047,,,16.0,5.5,,,
2022,6089,"Shasta County, CA",,,,,,0.08,0.071,,,,,,,
2022,6093,"Siskiyou County, CA",,,,,,0.08,0.055,,,48.0,9.4,,,
2022,6095,"Solano County, CA",1.9,1.6,,39.0,7.0,0.08,0.063,30.0,12.0,24.0,8.2,3.0,5.0,1.0
2022,6097,"Sonoma County, CA",0.9,0.7,,25.0,4.0,0.06,0.05,36.0,12.0,17.0,6.4,,,
2022,6099,"Stanislaus County, CA",1.8,1.4,,38.0,9.0,0.1,0.077,79.0,31.0,36.0,13.4,,,
2022,6101,"Sutter County, CA",,,,37.0,7.0,0.08,0.069,71.0,21.0,28.0,10.7,,,
2022,6103,"Tehama County, CA",,,,,,0.08,0.07,40.0,15.0,19.0,5.8,,,
2022,6107,"Tulare County, CA",,,,,8.0,0.11,0.09,,,41.0,14.9,,,
2022,6111,"Ventura County, CA",,,,30.0,6.0,0.09,0.078,53.0,23.0,17.0,8.2,,,
2022,6113,"Yolo County, CA",,,,,4.0,0.08,0.068,54.0,20.0,29.0,8.3,,,
2023,6001,"Alameda County, CA",14.5,3.6,,102.0,11.0,0.09,0.069,,,23.0,8.7,1.0,2.0,0.0
2023,6005,"Amador County, CA",,,,,,0.08,0.062,,,,,,,
2023,6007,"Butte County, CA",1.6,1.1,,27.0,5.0,0.07,0.066,77.0,22.0,23.0,7.8,,,
2023,6009,"Calaveras County, CA",,,,,,0.08,0.065,36.0,12.0,15.0,5.5,,,
2023,6011,"Colusa County, CA",,,,,,,,76.0,20.0,23.0,7.4,,,
2023,6013,"Contra Costa County, CA",3.2,0.9,,28.0,5.0,0.08,0.063,48.0,17.0,23.0,9.9,3.0,18.0,1.0
2023,6017,"El Dorado County, CA",,,,,,0.08,0.072,38.0,14.0,,,,,
2023,6019,"Fresno County, CA",2.1,1.5,,51.0,17.0,0.1,0.082,126.0,43.0,40.0,12.6,2.0,5.0,0.0
2023,6021,"Glenn County, CA",,,,,,0.07,0.06,67.0,16.0,,,,,
2023,6023,"Humboldt County, CA",0.7,0.6,,14.0,2.0,0.06,0.047,44.0,17.0,20.0,7.0,1.0,1.0,0.0
2023,6025,"Imperial County, CA",3.4,2.4,,55.0,9.0,0.11,0.081,523.0,49.0,31.0,10.3,2.0,5.0,0.0
2023,6027,"Inyo County, CA",0.3,0.3,,,,0.08,0.071,700.0,24.0,29.0,9.7,1.0,1.0,0.0
2023,6029,"Kern County, CA",1.5,0.8,,48.0,19.0,0.11,0.089,125.0,39.0,41.0,13.6,,,
2023,6031,"Kings County, CA",,,,38.0,7.0,,,143.0,43.0,37.0,12.5,,,
2023,6033,"Lake County, CA",,,,,,0.06,0.048,26.0,10.0,14.0,4.1,,,
2023,6037,"Los Angeles County, CA",3.1,2.6,0.02,61.0,21.0,0.14,0.103,105.0,33.0,28.0,14.3,1.0,8.0,0.0
2023,6039,"Madera County, CA",,,,24.0,5.0,0.09,0.077,114.0,33.0,28.0,9.9,,,
2023,6041,"Marin County, CA",1.3,0.8,,31.0,6.0,0.06,0.05,40.0,12.0,16.0,5.4,,,
2023,6043,"Mariposa County, CA",,,,,,0.08,0.068,,,,,,,
2023,6045,"Mendocino County, CA",,,,,,0.06,0.049,62.0,16.0,32.0,12.1,,,
2023,6047,"Merced County, CA",,,,33.0,6.0,0.09,0.075,105.0,31.0,32.0,9.6,,,
2023,6051,"Mono County, CA",,,,,,,,67.0,20.0,22.0,7.0,,,
2023,6053,"Monterey County, CA",1.0,0.6,,24.0,3.0,0.07,0.053,67.0,17.0,18.0,7.7,,,
2023,6057,"Nevada County, CA",,,,,,,,,,12.0,4.8,,,
2023,6059,"Orange County, CA",2.2,1.7,,50.0,20.0,0.1,0.077,,,24.0,9.5,,,
2023,6061,"Placer County, CA",,,,33.0,6.0,0.09,0.077,45.0,15.0,19.0,7.5,,,
2023,6063,"Plumas County, CA",,,,,,,,,,40.0,11.9,,,
2023,6065,"Riverside County, CA",1.5,1.2,0.01,47.0,12.0,0.14,0.099,306.0,46.0,31.0,12.5,1.0,2.0,0.0
